Long name,Source,Code,Series name,Unit,Beijing,Dalian,Guangzhou,Qingdao
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CSWS,"Socks, wool mixture (chain store)",CNY,50,118,20,30
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CDDC,"Dress, ready to wear, daytime (chain store)",CNY,2500,1599,390,900
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CWSC,"Women's shoes, town (chain store)",CNY,820,598,420,780
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CWCC,Women's cardigan sweater (chain store),CNY,690,999,800,1080
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CWRC,"Women's raincoat, Burberry type (chain store)",CNY,2500,n.a.,4895,n.a.
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CTIC,"Tights, panty hose (chain store)",CNY,155,118,40,n.a.
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CCJC,Child's jeans (chain store),CNY,320,169,128,146
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CCSS,"Child's shoes, dresswear (chain store)",CNY,240,288,135,260
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CSSC,"Child's shoes, sportswear (chain store)",CNY,330,360,n.a.,n.a.
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CGDC,Girl's dress (chain store),CNY,260,168,168,230
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CBJC,"Boy's jacket, smart (chain store)",CNY,250,260,144,130
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CBTC,Boy's dress trousers (chain store),CNY,230,240,138,180
Average hourly rate for domestic cleaning help.,EIU Worldwide Cost of Living Survey,DHDC,Hourly rate for domestic cleaning help (average),CNY,24,10,35,15
"Average monthly wages for full-time live-in maid, excluding living costs.",EIU Worldwide Cost of Living Survey,DHMW,Maid's monthly wages (full time) (average),CNY,1200,n.a.,1325,2000
Average hourly rate for a babysitter .,EIU Worldwide Cost of Living Survey,DHBR,Babysitter's rate per hour (average),CNY,40,10,40,35
Average cost of a compact disc album.,EIU Worldwide Cost of Living Survey,RCDA,Compact disc album (average),CNY,137.5,101,150,132.5
Average cost of a 66cm colour television.,EIU Worldwide Cost of Living Survey,RCTV,"Television, colour (66 cm) (average)",CNY,5995,5449.5,7849.5,6865
Average cost of a 36-exposure Kodak colour camera film.,EIU Worldwide Cost of Living Survey,RKCF,Kodak colour film (36 exposures) (average),CNY,51,36.5,29,50
Average cost of developing a 36-exposure Kodak colour camera film.,EIU Worldwide Cost of Living Survey,RDCP,Cost of developing 36 colour pictures (average),CNY,35,29.2,36.5,30
Average cost of an international daily newspaper.,EIU Worldwide Cost of Living Survey,RFDN,International foreign daily newspaper (average),CNY,23,25,25,30
Average cost of a local daily newspaper.,EIU Worldwide Cost of Living Survey,RDLN,Daily local newspaper (average),CNY,3.5,2,1.5,1.5
Average cost of an international weekly news magazine such as Time or Newsweek.,EIU Worldwide Cost of Living Survey,RWNM,International weekly news magazine (Time) (average),CNY,40,40,50,10
Average cost of a paperback novel at a bookstore.,EIU Worldwide Cost of Living Survey,RPBN,Paperback novel (at bookstore) (average),CNY,150,30,45,85
Average cost of a three-course dinner at a top restaurant for four people.,EIU Worldwide Cost of Living Survey,RDFP,Three course dinner for four people (average),CNY,2300,1415,4020,675
"Average price of a 64 MB personal computer, including hard drive, monitor and keyboard.",EIU Worldwide Cost of Living Survey,RNFP,Personal computer (64 MB) (average),CNY,12250,12499,13249,5300
Average cost of buying four best seats at the theatre .,EIU Worldwide Cost of Living Survey,RTFP,Four best seats at theatre or concert (average),CNY,2440,n.a.,2250,n.a.
Average cost of buying four best seats at the cinema.,EIU Worldwide Cost of Living Survey,RCFP,Four best seats at cinema (average),CNY,270,205,210,n.a.
Lower-range price for a 900-1299 cc passenger car.,EIU Worldwide Cost of Living Survey,TCLL,Low priced car (900-1299 cc) (low),CNY,115000,108180,125500,129800
Top-range price for a 900-1299 cc passenger car.,EIU Worldwide Cost of Living Survey,TCLH,Low priced car (900-1299 cc) (high),CNY,162600,209000,229880,150000
Lower-range price for a 1300-1799 cc passenger car.,EIU Worldwide Cost of Living Survey,TCCL,Compact car (1300-1799 cc) (low),CNY,175000,269999,310000,170000
Top-range price for a 1300-1799 cc passenger car.,EIU Worldwide Cost of Living Survey,TCCH,Compact car (1300-1799 cc) (high),CNY,350000,350000,347260,350000
Lower-range price for an 1800-2499 cc passenger car.,EIU Worldwide Cost of Living Survey,TCFL,Family car (1800-2499 cc) (low),CNY,500000,365000,860000,450000
Top-range price for an 1800-2499 cc passenger car.,EIU Worldwide Cost of Living Survey,TCFH,Family car (1800-2499 cc) (high),CNY,750000,704000,940000,763000
Lower-range price for a 2500-plus cc passenger car.,EIU Worldwide Cost of Living Survey,TCDL,Deluxe car (2500 cc upwards) (low),CNY,1300000,1674000,1000000,940000
Top-range price for a 2500-plus cc passenger car.,EIU Worldwide Cost of Living Survey,TCDH,Deluxe car (2500 cc upwards) (high),CNY,1680000,1826000,1300000,1770000
Lower-range fee for yearly road tax.,EIU Worldwide Cost of Living Survey,TRTL,Yearly road tax or registration fee (low),CNY,1200,2600,2350,1500
Top-range fee for yearly road tax.,EIU Worldwide Cost of Living Survey,TRTH,Yearly road tax or registration fee (high),CNY,2800,3500,3100,2250
Lower-range cost of a tune up without major repairs .,EIU Worldwide Cost of Living Survey,TTUL,Cost of a tune up (but no major repairs) (low),CNY,1000,1500,700,450
Top-range cost of a tune up without major repairs .,EIU Worldwide Cost of Living Survey,TTUH,Cost of a tune up (but no major repairs) (high),CNY,2500,4000,1200,600
Lower-range annual car insurance premium.,EIU Worldwide Cost of Living Survey,TCIL,Annual premium for car insurance (low),CNY,9500,5500,10000,4000
Top-range annual car insurance premium.,EIU Worldwide Cost of Living Survey,TCIH,Annual premium for car insurance (high),CNY,26000,10800,15000,8450
Average cost of 1 litre of unleaded petrol.,EIU Worldwide Cost of Living Survey,TRUP,Regular unleaded petrol (1 l) (average),CNY,4.83,4.82,4.98,3.77
Average initial meter charge for a taxi journey.,EIU Worldwide Cost of Living Survey,TTIM,Taxi: initial meter charge (average),CNY,12,8,8,7
Average rate per extra kilometre for a taxi journey .,EIU Worldwide Cost of Living Survey,TTRK,Taxi rate per additional kilometre (average),CNY,1.8,2,2.6,1.3
Average cost of a taxi journey from the airport to the city centre.,EIU Worldwide Cost of Living Survey,TTAC,Taxi: airport to city centre (average),CNY,120,100,60,100
"Typical annual gross rent for a 1,000 sq metre unit in a Class A building in a prime location.","Cusham & Wakefield, Business Space Across the World.",ROUS,Office rent per sq metre per year,USD,518,n.a.,253,n.a.
Usual duration of contracted leases for prime office property in each market.,"CB Richard Ellis, Global Market Rents",ROLT,Typical lease term for office property (years),years,3,n.a.,2,n.a.
"Typical annual gross rent for top-quality units of 2,000 sq metres suitable for warehousing or factory use.","Cusham & Wakefield, Business Space Across the World.",RIUS,"Industrial space, per sq metre per year",USD,72,n.a.,n.a.,n.a.
Monthly rent for a moderate residential apartment of this size.,EIU Worldwide Cost of Living Survey,RF1M,Furnished residential apartment: 1 bedroom (moderate),CNY,17000,19080,11925,8000
Monthly rent for a mid-market residential apartment of this size.,EIU Worldwide Cost of Living Survey,RF1H,Furnished residential apartment: 1 bedroom (high),CNY,30000,27825,27825,9000
Monthly rent for a moderate residential apartment of this size.,EIU Worldwide Cost of Living Survey,RF2M,Furnished residential apartment: 2 bedroom (moderate),CNY,35600,23850,23850,13000
Monthly rent for a mid-market residential apartment of this size.,EIU Worldwide Cost of Living Survey,RF2H,Furnished residential apartment: 2 bedroom (high),CNY,45000,36570,35775,14000
Monthly rent for a moderate residential apartment of this size.,EIU Worldwide Cost of Living Survey,RU2M,Unfurnished residential apartment: 2 bedrooms (moderate),CNY,21700,12720,21465,6000
Monthly rent for a mid-market residential apartment of this size.,EIU Worldwide Cost of Living Survey,RU2H,Unfurnished residential apartment: 2 bedrooms (high),CNY,50652,17490,34185,13000
Monthly rent for a moderate residential apartment of this size.,EIU Worldwide Cost of Living Survey,RU3M,Unfurnished residential apartment: 3 bedrooms (moderate),CNY,52260,18285,34185,5500
Monthly rent for a mid-market residential apartment of this size.,EIU Worldwide Cost of Living Survey,RU3H,Unfurnished residential apartment: 3 bedrooms (high),CNY,60000,27825,77910,15000
Monthly rent for a moderate residential apartment of this size.,EIU Worldwide Cost of Living Survey,RU4M,Unfurnished residential apartment: 4 bedrooms (moderate),CNY,20300,27825,51675,8040
Monthly rent for a mid-market residential apartment of this size.,EIU Worldwide Cost of Living Survey,RU4H,Unfurnished residential apartment: 4 bedrooms (high),CNY,30600,38160,79426.3,15000
Monthly rent for a moderate residential house of this size.,EIU Worldwide Cost of Living Survey,RF3M,Furnished residential house: 3 bedrooms (moderate),CNY,n.a.,63600,47700,15000
Monthly rent for a mid-market residential house of this size.,EIU Worldwide Cost of Living Survey,RF3H,Furnished residential house: 3 bedrooms (high),CNY,n.a.,101760,63600,25000
,,RUM3,Unfurnished residential house: 3 bedrooms (moderate),CNY,n.a.,n.a.,n.a.,n.a.
,,RUH3,Unfurnished residential house: 3 bedrooms (high),CNY,n.a.,n.a.,n.a.,n.a.
Monthly rent for a moderate residential house of this size.,EIU Worldwide Cost of Living Survey,RUM4,Unfurnished residential house: 4 bedrooms (moderate),CNY,n.a.,27825,60300,13000
Monthly rent for a mid-market residential house of this size.,EIU Worldwide Cost of Living Survey,RUH4,Unfurnished residential house: 4 bedrooms (high),CNY,n.a.,35775,91425,25000
Average annual tuition fees for this age group.,EIU Worldwide Cost of Living Survey,ISF1,"French school: annual tuition, ages 5-12 (average)",CNY,61729.1,n.a.,101380,60000
Average annual tuition fees for this age group.,EIU Worldwide Cost of Living Survey,ISF2,"French school: annual tuition, ages 13-17 (average)",CNY,100700,n.a.,101380,85000
"Average extra school costs, including textbooks, lunches, school bus and uniforms, for this age group.",EIU Worldwide Cost of Living Survey,ISF3,"French school: extra costs, ages 5-12 (average)",CNY,5684.01,n.a.,9565,22500
"Average extra school costs, including textbooks, lunches, school bus and uniforms, for this age group.",EIU Worldwide Cost of Living Survey,ISF4,"French school: extra costs, ages 13-17 (average)",CNY,5684.01,n.a.,9565,33000
Average annual kindergarten fees.,EIU Worldwide Cost of Living Survey,ISF5,French school: kindergarten annual fees (average),CNY,35781.02,n.a.,69800,55000
Average annual tuition fees for this age group.,EIU Worldwide Cost of Living Survey,ISG1,"German school: annual tuition, ages 5-12 (average)",CNY,61930.5,n.a.,n.a.,60000
Average annual tuition fees for this age group.,EIU Worldwide Cost of Living Survey,ISG2,"German school: annual tuition, ages 13-17 (average)",CNY,61930.5,n.a.,n.a.,85000
"Average extra school costs, including textbooks, lunches, school bus and uniforms, for this age group.",EIU Worldwide Cost of Living Survey,ISG3,"German school: extra costs, ages 5-12 (average)",CNY,36252,n.a.,n.a.,22500
"Average extra school costs, including textbooks, lunches, school bus and uniforms, for this age group.",EIU Worldwide Cost of Living Survey,ISG4,"German school: extra costs, ages 13-17 (average)",CNY,36252,n.a.,n.a.,33000
Average annual kindergarten fees.,EIU Worldwide Cost of Living Survey,ISG5,German school: kindergarten annual fees (average),CNY,51357,n.a.,n.a.,55000
Average annual tuition fees for this age group.,EIU Worldwide Cost of Living Survey,ISA1,"American /English school: annual tuition, ages 5-12 (average)",CNY,147870,35875,120900,47500
Average annual tuition fees for this age group.,EIU Worldwide Cost of Living Survey,ISA2,"American/English school: annual tuition, ages 13-17 (average)",CNY,169335,49300,145000,50000
"Average extra school costs, including textbooks, lunches, school bus and uniforms, for this age group.",EIU Worldwide Cost of Living Survey,ISA3,"American/English school: extra costs, ages 5-12 (average)",CNY,9603,7845,13120,17500
"Average extra school costs, including textbooks, lunches, school bus and uniforms, for this age group.",EIU Worldwide Cost of Living Survey,ISA4,"American/English school: extra costs, ages 13-17 (average)",CNY,9603,8572,9200,27500
Average annual kindergarten fees.,EIU Worldwide Cost of Living Survey,ISA5,American/English school: kindergarten annual fees (average),CNY,131175,16000,73000,50000
Average cost of a routine check-up at the local doctor.,EIU Worldwide Cost of Living Survey,ICGP,Routine checkup at family doctor (average),CNY,750,127.5,560,425
Average cost of a single X-Ray at the local doctor or hospital .,EIU Worldwide Cost of Living Survey,IXGP,One X-ray at doctor's office or hospital (average),CNY,850,225,550,60
"Average cost of a visit to the dentist, involving one X-Ray and one filling.",EIU Worldwide Cost of Living Survey,ICDT,Visit to dentist (one X-ray and one filling) (average),CNY,925,290,700,229
Average cost of green fees on a public golf course.,EIU Worldwide Cost of Living Survey,IGFG,Green fees on a public golf course (average),CNY,900,1525,900,1875
Average cost of hiring a tennis court for one hour.,EIU Worldwide Cost of Living Survey,ITCH,Hire of tennis court for one hour (average),CNY,112.5,100,70,50
Average cost of six new tennis balls.,EIU Worldwide Cost of Living Survey,ISTB,"Cost of six tennis balls eg Dunlop, Wilson (average)",CNY,128,112.5,90,65
Average cost of admission to a public swimming pool.,EIU Worldwide Cost of Living Survey,IPSP,Entrance fee to a public swimming pool (average),CNY,100,87.5,31,60
"Typical daily cost of a business trip to the city concerned, including one night in a moderate hotel, one two-course business meal, one simple meal, two 5-km taxi rides, four initial taxi meter charges, a foreign daily newspaper, and a drink in the hotel",EIU Worldwide Cost of Living Survey,BOCT,"Business trip, typical daily cost",CNY,2573.4,2549,2882,1942
"Average cost of a single room at a Hilton-style hotel, including continental breakfast, tax and service.",EIU Worldwide Cost of Living Survey,BHTH,"Hilton-type hotel, single room, one night including breakfast (average)",CNY,1900,1335,1640,1295
"Average cost of a single room at a moderate hotel, including continental breakfast, tax and service.",EIU Worldwide Cost of Living Survey,BMHT,"Moderate hotel, single room, one night including breakfast (average)",CNY,826.8,999,960,950
Average cost of a drink of Scotch or equivalent at the bar of a Hilton-style hotel.,EIU Worldwide Cost of Living Survey,BDRB,One drink at bar of first class hotel (average),CNY,110,224,90,82.5
"Average cost of a two-course meal for two people, including one bottle of wine and tips.",EIU Worldwide Cost of Living Survey,BMTP,Two-course meal for two people (average),CNY,775,772,1200,440
"Average cost of a meal for one person, with tips, without alcohol.",EIU Worldwide Cost of Living Survey,BMOP,Simple meal for one person (average),CNY,260,325,225,240
Average cost of a fast-food meal.,EIU Worldwide Cost of Living Survey,BFFS,"Fast food snack: hamburger, fries and drink (average)",CNY,25,18.5,18,23.5
"Weekly hire of car in the lowest price band, unlimited mileage.",EIU Worldwide Cost of Living Survey,BHCL,"Hire car, weekly rate for lowest price classification (average)",CNY,1200,2000,2660,1400
"Weekly hire of car in a moderate price band, unlimited mileage.",EIU Worldwide Cost of Living Survey,BHCM,"Hire car, weekly rate for moderate price classification (average)",CNY,4000,2450,5950,3525
Average cost of one good seat at the cinema.,EIU Worldwide Cost of Living Survey,BCOP,One good seat at cinema (average),CNY,67.5,51.25,52.5,n.a.
"Median annual salary for a sales manager in the national market (in local currency, except Russia, which is in US$).",Watson Wyatt,SSMS,"Sales manager, annual basic salary",CNY,n.a.,n.a.,n.a.,n.a.
"Median annual salary for a bilingual secretary in the national market (in local currency, except Russia, which is in US$).",Watson Wyatt,SBSS,"Bilingual secretary, annual basic salary",CNY,n.a.,n.a.,n.a.,n.a.
Average US$ cost of labour per hour. Based on average annual earnings and hours worked.,EIU calculation based on data from China Statistical Yearbook and ILO data on hours worked,LCHD,Labour costs per hour,USD,1.2,1.2,1.2,1.2
"Disposable income of a single person as a percentage of a local-currency salary roughly equivalent to US$30,000.",EIU Worldwide Cost of Living Survey,SDS1,"Disposable income (%) on a salary equivalent to $30,000 (single person)",%,84,84,84,84
"Disposable income of a single person as a percentage of a local-currency salary roughly equivalent to US$60,000.",EIU Worldwide Cost of Living Survey,SDS2,"Disposable income (%) on a salary equivalent to $60,000 (single person)",%,80,80,80,80
"Disposable income of a single person as a percentage of a local-currency salary roughly equivalent to US$100,000.",EIU Worldwide Cost of Living Survey,SDS3,"Disposable income (%) on a salary equivalent to $100,000 (single person)",%,76,76,76,76
"Disposable income of a single person as a percentage of a local-currency salary roughly equivalent to US$150,000.",EIU Worldwide Cost of Living Survey,SDS4,"Disposable income (%) on a salary equivalent to $150,000 (single person)",%,71,71,71,71
"Disposable income of a single person as a percentage of a local-currency salary roughly equivalent to US$200,000.",EIU Worldwide Cost of Living Survey,SDS5,"Disposable income (%) on a salary equivalent to $200,000 (single person)",%,67,67,67,67
"Disposable income of a married person as a percentage of a local-currency salary roughly equivalent to US$30,000.",EIU Worldwide Cost of Living Survey,SDM1,"Disposable income (%) on a salary equivalent to $30,000 (married person)",%,84,84,84,84
"Disposable income of a married person as a percentage of a local-currency salary roughly equivalent to US$60,000.",EIU Worldwide Cost of Living Survey,SDM2,"Disposable income (%) on a salary equivalent to $60,000 (married person)",%,80,80,80,80
"Disposable income of a married person as a percentage of a local-currency salary roughly equivalent to US$100,000.",EIU Worldwide Cost of Living Survey,SDM3,"Disposable income (%) on a salary equivalent to $100,000 (married person)",%,76,76,76,76
"Disposable income of a married person as a percentage of a local-currency salary roughly equivalent to US$150,000.",EIU Worldwide Cost of Living Survey,SDM4,"Disposable income (%) on a salary equivalent to $150,000 (married person)",%,71,71,71,71
"Disposable income of a married person as a percentage of a local-currency salary roughly equivalent to US$200,000.",EIU Worldwide Cost of Living Survey,SDM5,"Disposable income (%) on a salary equivalent to $200,000 (married person)",%,67,67,67,67
"Disposable income of a married person with one child as a percentage of a local-currency salary roughly equivalent to US$30,000.",EIU Worldwide Cost of Living Survey,SDA1,"Disposable income (%) on a salary equivalent to $30,000 (married person, 1 child)",%,84,84,84,84
"Disposable income of a married person with one child as a percentage of a local-currency salary roughly equivalent to US$60,000.",EIU Worldwide Cost of Living Survey,SDA2,"Disposable income (%) on a salary equivalent to $60,000 (married person, 1 child)",%,80,80,80,80
"Disposable income of a married person with one child as a percentage of a local-currency salary roughly equivalent to US$100,000.",EIU Worldwide Cost of Living Survey,SDA3,"Disposable income (%) on a salary equivalent to $100,000 (married person, 1 child)",%,76,76,76,76
"Disposable income of a married person with one child as a percentage of a local-currency salary roughly equivalent to US$150,000.",EIU Worldwide Cost of Living Survey,SDA4,"Disposable income (%) on a salary equivalent to $150,000 (married person, 1 child)",%,71,71,71,71
"Disposable income of a married person with one child as a percentage of a local-currency salary roughly equivalent to US$200,000.",EIU Worldwide Cost of Living Survey,SDA5,"Disposable income (%) on a salary equivalent to $200,000 (married person, 1 child)",%,67,67,67,67
"Disposable income of a married person with two children as a percentage of a local-currency salary roughly equivalent to US$30,000.",EIU Worldwide Cost of Living Survey,SDB1,"Disposable income (%) on a salary equivalent to $30,000 (married person, 2 children)",%,84,84,84,84
"Disposable income of a married person with two children as a percentage of a local-currency salary roughly equivalent to US$60,000.",EIU Worldwide Cost of Living Survey,SDB2,"Disposable income (%) on a salary equivalent to $60,000 (married person, 2 children)",%,80,80,80,80
"Disposable income of a married person with two children as a percentage of a local-currency salary roughly equivalent to US$100,000.",EIU Worldwide Cost of Living Survey,SDB3,"Disposable income (%) on a salary equivalent to $100,000 (married person, 2 children)",%,76,76,76,76
"Disposable income of a married person with two children as a percentage of a local-currency salary roughly equivalent to US$150,000.",EIU Worldwide Cost of Living Survey,SDB4,"Disposable income (%) on a salary equivalent to $150,000 (married person, 2 children)",%,71,71,71,71
"Disposable income of a married person with two children as a percentage of a local-currency salary roughly equivalent to US$200,000.",EIU Worldwide Cost of Living Survey,SDB5,"Disposable income (%) on a salary equivalent to $200,000 (married person, 2 children)",%,67,67,67,67

